Nom,Dosage,Forme,DCI,Classe,Sous Classe,Indications,G/P/B
5-FLUOROURACIL,250 MG,Solution injectable,FLUOROURACILE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"- Adénocarcinomes digestifs évolués;
- Cancers colorectaux après resection en situation adjuvante;
- Adénocarcinomes mammaires aprés traitement locorégional ou lors des
rechutes;
- Adénocarcinomes ovariens;
- Carcinomes épidermoïdes des voies aérodig",Générique
5-FLUOROURACILE EBEWE,1000 mg/20 ml,Solution injectable pour perfusion,FLUOROURACILE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"- Adénocarcinomes digestifs évolués;
- Cancers colorectaux après résection en situation adjuvante;
- Adénocarcinomes mammaires après traitement locorégional ou lors des
rechutes;
- Adénocarcinomes ovariens;
- Carcinomes épidermoïdes des voies aérodig",Générique
5-FLUOROURACILE EBEWE,500 mg/10 ml,Solution injectable pour perfusion,FLUOROURACILE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"- Adénocarcinomes digestifs évolués;
- Cancers colorectaux après résection en situation adjuvante;
- Adénocarcinomes mammaires après traitement locorégional ou lors des
rechutes;
- Adénocarcinomes ovariens;
- Carcinomes épidermoïdes des voies aérodig",Générique
ABBOTICINE,200 MG,Poudre pour suspension orale,ERYTHROMYCINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"INFECTIONS DUES AUX GERMES SENSIBLES NOTAMMENT
DANS LEURS MANIFESTATIONS:
ORL STOMATOLOGIQUES
BRONCHOPULMONAIRES,
CUTANEES,
GENITALES,EN PARTICULIER PROSTATIQUES,
OSSEUSES,
PROPHYLAXIE DE LA MENINGITE A MENINGOCOQUES CHEZ
LES SUJETS CONTACTS,
CHIMIOT",Princeps
ABEVMY,400 mg(25mg/ml),Solution à diluer pour perfusion,BEVACIZUMAB,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"Cancer métastatique du colon ou du rectum
- Abvemy (bévacizumab) est indiqué dans le traitement de première
ligne du cancer colo-rectal métastatique en association avec les
chimiothérapies suivantes:
5-fluorouracil/acide folinique
5-fluorouracil/acid",Biosimilaire
ABEVMY,100 mg(25mg/ml),Solution à diluer pour perfusion,BEVACIZUMAB,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,ANTINEOPLASIQUES,"Cancer métastatique du colon ou du rectum
- Abvemy (bévacizumab) est indiqué dans le traitement de première
ligne du cancer colo-rectal métastatique en association avec les
chimiothérapies suivantes:
5-fluorouracil/acide folinique
5-fluorouracil/acid",Biosimilaire
ABILICARE,10 mg,Comprimé,ARIPIPRAZOLE,SYSTEME NERVEUX,PSYCHOLEPTIQUES,"Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15
ans ou plus .
ABILICARE est indiqué dans le traitement des épisodes maniaques
modérés à sévères des troubles bipolaires de type I et dans la
prévention de récidives d'épisodes man",Générique
ABILICARE,15 mg,Comprimé,ARIPIPRAZOLE,SYSTEME NERVEUX,PSYCHOLEPTIQUES,"Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15
ans ou plus .
ABILICARE est indiqué dans le traitement des épisodes maniaques
modérés à sévères des troubles bipolaires de type I et dans la
prévention de récidives d'épisodes man",Générique
ABILIFY,15 mg,Comprimé,ARIPIPRAZOLE,SYSTEME NERVEUX,PSYCHOLEPTIQUES,"Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15
ans ou plus .
ABILIFY est indiqué dans le traitement des épisodes maniaques modérés
à sévères des troubles bipolaires de type I et dans la prévention de
récidives d'épisodes mania",Princeps
ABILIFY,10 mg,Comprimé,ARIPIPRAZOLE,SYSTEME NERVEUX,PSYCHOLEPTIQUES,"Traitement de la schizophrénie chez l'adulte et l'adolescent àgé de 15
ans ou plus .
ABILIFY est indiqué dans le traitement des épisodes maniaques modérés
à sévères des troubles bipolaires de type I et dans la prévention de
récidives d'épisodes mania",Princeps
ABIRATERONE ACETATE NEAPOLIS,250 mg,Comprimé,ABIRATERONE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"ABIRATERONE ACETATE NEAPOLIS est indiqué en association avec le
prednisone ou le prednisolone dans le traitement du cancer
métastatique de la prostate résistant  à la castration chez les hommes
adultes dont la maladie a progressé pendant  ou après un",Générique
ABREMIA,250 mg,Comprimé,ABIRATERONE,ANTINEOPLASIQUES ET IMMUNOMODULATEURS,THERAPEUTIQUE ENDOCRINE,"ABREMIA est indiqué en association avec le prednisone ou le
prednisolone dans le traitement du cancer métastatique de la prostate
résistant  à la castration chez les hommes adultes dont la maladie a
progressé pendant  ou après une chimiothérapie à ba",Générique
ABUFENE,400 MG,Comprimé,BETA-ALANINE,SYSTEME GENITO URINAIRE ET HORMONES SEXUELLES,AUTRES MEDICAMENTS GYNECOLOGIQUES,Utilisé dans les bouffées de chaleur de la ménopause.,Princeps
ACACIPRO 500,500 mg,Comprimé pelliculé sécable,CIPROFLOXACINE,ANTIINFECTIEUX GENERAUX A USAGE SYSTEMIQUE,ANTIBACTERIENS (USAGE SYSTEMIQUE),"Chez l'adulte :
- Infections des voies respiratoires basses dues à des bactéries à
Gram - :
* exacerbations de bronchopneumopathie chronique obstructive ;
* Infections bronchopulmonaires en cas de mucoviscidose ou de
bronchectasie ;
* pneumonie.
- Ot",Générique
